"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.10.2024","230,10","232,61","233,47","229,55","47,07M","-1,53%"
"29.10.2024","233,67","233,10","234,32","232,32","35,42M","0,12%"
"28.10.2024","233,40","233,32","234,73","232,55","36,09M","0,86%"
"25.10.2024","231,41","229,74","233,22","229,57","38,80M","0,36%"
"24.10.2024","230,57","229,98","230,82","228,41","31,11M","-0,08%"
"23.10.2024","230,76","234,08","235,14","227,76","52,29M","-2,16%"
"22.10.2024","235,86","233,88","236,22","232,60","38,85M","-0,26%"
"21.10.2024","236,48","234,45","236,85","234,45","36,25M","0,63%"
"18.10.2024","235,00","236,18","236,18","234,01","46,43M","1,23%"
"17.10.2024","232,15","233,43","233,85","230,52","32,99M","0,16%"
"16.10.2024","231,78","231,60","232,12","229,84","34,08M","-0,89%"
"15.10.2024","233,85","233,61","237,49","232,37","64,75M","1,10%"
"14.10.2024","231,30","228,70","231,73","228,60","39,88M","1,65%"
"11.10.2024","227,55","229,30","229,41","227,34","31,76M","-0,65%"
"10.10.2024","229,04","227,78","229,50","227,17","28,18M","-0,22%"
"09.10.2024","229,54","225,23","229,75","224,83","33,59M","1,67%"
"08.10.2024","225,77","224,30","225,98","223,25","31,86M","1,84%"
"07.10.2024","221,69","224,50","225,69","221,33","39,51M","-2,25%"
"04.10.2024","226,80","227,90","228,00","224,13","37,35M","0,50%"
"03.10.2024","225,67","225,14","226,80","223,32","34,04M","-0,49%"
"02.10.2024","226,78","225,89","227,37","223,02","32,88M","0,25%"
"01.10.2024","226,21","229,52","229,65","223,74","63,29M","-2,91%"
"30.09.2024","233,00","230,04","233,00","229,65","54,79M","2,29%"
"27.09.2024","227,79","228,46","229,52","227,30","34,03M","0,12%"
"26.09.2024","227,52","227,30","228,50","225,41","36,64M","0,51%"
"25.09.2024","226,37","224,93","227,29","224,02","42,31M","-0,44%"
"24.09.2024","227,37","228,65","229,35","225,73","43,56M","0,40%"
"23.09.2024","226,47","227,34","229,45","225,81","54,15M","-0,76%"
"20.09.2024","228,20","229,97","233,09","227,62","318,68M","-0,29%"
"19.09.2024","228,87","224,99","229,82","224,63","66,78M","3,71%"
"18.09.2024","220,69","217,55","222,71","217,54","59,89M","1,80%"
"17.09.2024","216,79","215,75","216,90","214,50","45,52M","0,22%"
"16.09.2024","216,32","216,54","217,22","213,92","59,36M","-2,78%"
"13.09.2024","222,50","223,58","224,04","221,91","36,77M","-0,12%"
